titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,id_colonia,colonia,alcaldia,en_poniente,label,en_bbox_piloto
DFE100173,"INMOBILIARIA EZCO, S.A.",INDUSTRIAL,103680.0,0.10368,103680.0,0.10368,1996-02-19,19.324169416666667,-99.08722272222222,12384.0,Granjas Estrella,Iztapalapa,False,Granjas Estrella — Iztapalapa,False
DFE100504,"GRUPO GAMESA, S. DE R.L. DE C.V.",INDUSTRIAL,110498.0,0.110498,110498.0,0.110498,1996-07-04,19.48416975,-99.15805555555556,11424.0,Santa Cruz De Las Salinas,Azcapotzalco,False,Santa Cruz De Las Salinas — Azcapotzalco,False
DFE100506,PARQUE ARTURO MUNDET A.C.,INDUSTRIAL,118510.0,0.11851,118510.0,0.11851,1996-05-06,19.44028033333333,-99.21416661111112,12513.0,Irrigacion,Miguel Hidalgo,True,Irrigacion — Miguel Hidalgo,True
DFE100516,"INDUSTRIAS J.L.C., S.A. DE C.V.",INDUSTRIAL,67015.0,0.067015,67015.0,0.067015,1996-05-16,19.33222483333333,-99.0752781111111,12361.0,San Juan Xalpa,Iztapalapa,False,San Juan Xalpa — Iztapalapa,False
DFE100541,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,125098.0,0.125098,62549.0,0.062549,1996-10-02,19.45944763888889,-99.17761122222224,11481.0,San Salvador Xochimanca,Azcapotzalco,False,San Salvador Xochimanca — Azcapotzalco,False
DFE100541,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,180596.0,0.180596,90298.0,0.090298,1996-10-02,19.45889161111111,-99.1769448888889,11481.0,San Salvador Xochimanca,Azcapotzalco,False,San Salvador Xochimanca — Azcapotzalco,False
DFE100545,"PROCTER & GAMBLE MANUFACTURING, S. DE R.L. DE C.V.",INDUSTRIAL,275000.0,0.275,91666.66666666667,0.09166666666666667,1996-05-16,19.503530027777774,-99.16927766666667,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
DFE100545,"PROCTER & GAMBLE MANUFACTURING, S. DE R.L. DE C.V.",INDUSTRIAL,765880.0,0.76588,255293.33333333334,0.2552933333333333,1996-05-16,19.50339097222222,-99.16872275,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
DFE100545,"PROCTER & GAMBLE MANUFACTURING, S. DE R.L. DE C.V.",INDUSTRIAL,125000.0,0.125,41666.666666666664,0.041666666666666664,1996-05-16,19.504113194444443,-99.1688611388889,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
DFE100552,LA SUIZA SA DE CV S.A. DE C.V.,INDUSTRIAL,7000.0,0.007,7000.0,0.007,1996-09-19,19.45583625,-99.13861144444444,11808.0,Ex Hipodromo De Peralvillo,Cuauhtemoc,False,Ex Hipodromo De Peralvillo — Cuauhtemoc,False
DFE100631,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,SERVICIOS,9262.0,0.009262,4631.0,0.004631,1996-08-14,19.28777902777778,-99.1422223888889,12805.0,Ex Ejido De Huipulco,Tlalpan,False,Ex Ejido De Huipulco — Tlalpan,False
DFE100631,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,SERVICIOS,50000.0,0.05,25000.0,0.025,1996-08-14,19.283058722222226,-99.13500016666669,12803.0,San Bartolo El Chico,Tlalpan,False,San Bartolo El Chico — Tlalpan,False
DFE100691,"INMOBILIARIA FAUSTO SUAREZ, S.A. DE C.V.",INDUSTRIAL,68.0,6.8e-05,68.0,6.8e-05,1997-03-12,19.494197361111112,-99.1520282777778,12008.0,Nva Industrial Vallejo,Gustavo A. Madero,False,Nva Industrial Vallejo — Gustavo A. Madero,False
DFE100756,"FANTASIAS MIGUEL, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,20000.0,0.02,1999-06-28,19.44389105555556,-99.18305555555555,12480.0,Anahuac Mariano Escobedo,Miguel Hidalgo,True,Anahuac Mariano Escobedo — Miguel Hidalgo,True
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,812052.0,0.812052,270684.0,0.270684,1999-10-18,19.330558472222226,-99.18194425,11626.0,Ciudad Universitaria,Coyoacan,False,Ciudad Universitaria — Coyoacan,False
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,1641125.0,1.641125,547041.6666666666,0.5470416666666666,1999-10-18,19.325002916666666,-99.19138886111112,11626.0,Ciudad Universitaria,Coyoacan,False,Ciudad Universitaria — Coyoacan,False
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,531482.0,0.531482,177160.66666666666,0.17716066666666666,1999-10-18,19.313058472222224,-99.19472272222222,11626.0,Ciudad Universitaria,Coyoacan,False,Ciudad Universitaria — Coyoacan,False
DFE100884,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,290000.0,0.29,290000.0,0.29,2002-05-10,19.483614,-99.16083361111112,11424.0,Santa Cruz De Las Salinas,Azcapotzalco,False,Santa Cruz De Las Salinas — Azcapotzalco,False
DFE100936,"FABRICA DE HIELO LA SIBERIA, S.A. DE C.V.",INDUSTRIAL,90000.0,0.09,90000.0,0.09,2004-04-02,19.478058333333333,-99.10238927777776,11974.0,Granjas Modernas,Gustavo A. Madero,False,Granjas Modernas — Gustavo A. Madero,False
DFE100937,"FABRICA DE HIELO LA MODERNA, S. A. DE C .V. S.A. DE C.V.",INDUSTRIAL,130000.0,0.13,130000.0,0.13,2004-04-02,19.460554972222223,-99.17444497222225,11481.0,San Salvador Xochimanca,Azcapotzalco,False,San Salvador Xochimanca — Azcapotzalco,False
DFE101040,"WYETH, S. DE R.L. DE C.V.",INDUSTRIAL,130000.0,0.13,130000.0,0.13,2008-02-26,19.49528080555556,-99.1644447777778,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
DFE101059,"BEBIDAS PURIFICADAS, S. DE .R.L. DE C.V.",INDUSTRIAL,206759.0,0.206759,206759.0,0.206759,2008-07-28,19.387505444444443,-99.12250027777776,12142.0,Maestros De Iztacalco,Iztacalco,False,Maestros De Iztacalco — Iztacalco,False
DFE101189,"MEXOPORO, S.C.",INDUSTRIAL,18000.0,0.018,18000.0,0.018,2013-04-30,19.33764175,-99.2174447777778,11347.0,Olivar De Los Padres,Alvaro Obregon,True,Olivar De Los Padres — Alvaro Obregon,True
DFE155947,ENVASADORAS DE AGUAS EN MEXICO S. DE R.L. DE C.V.,INDUSTRIAL,160526.0,0.160526,160526.0,0.160526,2017-07-12,19.49167263888889,-99.16444461111112,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
MEX100005,"CELULOSAS MAIRO, S. DE R.L. DE C.V.",INDUSTRIAL,27000.0,0.027,27000.0,0.027,1994-06-23,19.35458886111111,-98.98227844444445,12266.0,San Miguel Teotongo (Secc Mercedes),Iztapalapa,False,San Miguel Teotongo (Secc Mercedes) — Iztapalapa,False
MEX100549,"MANUFACTURAS KALTEX, S. A. DE C. V. S.A. DE C.V.",INDUSTRIAL,37440.0,0.03744,18720.0,0.01872,1995-09-07,19.462221222222222,-99.21805566666669,26655.0,Lomas De Sotelo,Miguel Hidalgo,True,Lomas De Sotelo — Miguel Hidalgo,True
MEX100549,"MANUFACTURAS KALTEX, S. A. DE C. V. S.A. DE C.V.",INDUSTRIAL,51840.0,0.05184,25920.0,0.02592,1995-09-07,19.46249883333333,-99.21805583333334,12465.0,San Lorenzo Tlaltenango,Miguel Hidalgo,True,San Lorenzo Tlaltenango — Miguel Hidalgo,True
MEX100554,FABRICA NACIONAL DE LIJA S.A. DE C.V.,INDUSTRIAL,26661.0,0.026661,26661.0,0.026661,1994-12-13,19.52019658333333,-99.20752833333334,11394.0,Infonavit El Rosario,Azcapotzalco,False,Infonavit El Rosario — Azcapotzalco,False
MEX100556,INMOBILIARIA CARPER S.A. DE C.V.,INDUSTRIAL,16398.0,0.016398,16398.0,0.016398,1994-12-13,19.518086055555557,-99.20702788888887,11394.0,Infonavit El Rosario,Azcapotzalco,False,Infonavit El Rosario — Azcapotzalco,False
MEX100577,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",INDUSTRIAL,471398.0,0.471398,157132.66666666666,0.15713266666666667,1995-07-07,19.50669702777778,-99.18008383333334,11416.0,Santa Barbara,Azcapotzalco,False,Santa Barbara — Azcapotzalco,False
MEX100577,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",INDUSTRIAL,525322.0,0.525322,175107.33333333334,0.17510733333333334,1995-07-07,19.50861088888889,-99.1783335,11416.0,Santa Barbara,Azcapotzalco,False,Santa Barbara — Azcapotzalco,False
