num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5167,13DFE100993/26FMDA15,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.355278,-99.280556,,,,,,,1,SIN_SERIE,11782.0,Las Tinajas,Cuajimalpa De Morelos,True,Las Tinajas — Cuajimalpa De Morelos,0.6510652559215048,True
5168,NEZA A 24,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.302949,-99.085964,,,,,,,1,SIN_SERIE,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5169,Pozo No. 3,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.227367,-98.993995,,,,,,,1,SIN_SERIE,12665.0,Jaime Torres Bodet,Tlahuac,False,Jaime Torres Bodet — Tlahuac,0.0,False
5172,Tecomitl 22,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.220043,-98.99593,,,,,,,1,SIN_SERIE,12551.0,Barrio Tenantitla,Milpa Alta,False,Barrio Tenantitla — Milpa Alta,1.5930648464092172,False
5173,TECOMITL 4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.222528,-98.993028,,,,,,,1,SIN_SERIE,12552.0,Barrio Xaltipac,Milpa Alta,False,Barrio Xaltipac — Milpa Alta,0.0,False
5174,Tecomitl 15,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.207722,-98.978889,,,,,,,1,SIN_SERIE,12679.0,Morelos,Milpa Alta,False,Morelos — Milpa Alta,0.0,False
5175,Padierna Picacho,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.301443,-99.220303,,,,,,,1,SIN_SERIE,12729.0,Emilio Portes Gil,Tlalpan,False,Emilio Portes Gil — Tlalpan,0.0,False
5176,Boehringer Ingelheim,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.251119,-99.113628,,,,,,,1,SIN_SERIE,13054.0,Unidad Hab Corporacion Xochimilco,Xochimilco,False,Unidad Hab Corporacion Xochimilco — Xochimilco,0.0,False
5177,San Luis 18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.250357,-99.070858,,,,,,,1,SIN_SERIE,13111.0,Santa Cruz Acalpixca,Xochimilco,False,Santa Cruz Acalpixca — Xochimilco,0.0,False
5178,PN_OBS_001,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.254649,-99.066802,,,,,,,1,SIN_SERIE,13111.0,Santa Cruz Acalpixca,Xochimilco,False,Santa Cruz Acalpixca — Xochimilco,0.0,False
